source_table, destination_table, source_field, target_field, field_type
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,_id,id_cold_room_maintenance_logs,
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,selfUri,selfUri,
cold_rooms,cold_rooms_odkx,_row_etag,rowETag,
cold_rooms,cold_rooms_odkx,_data_etag_at_modification,dataETagAtModification,
cold_rooms,cold_rooms_odkx,_deleted,deleted,
cold_rooms,cold_rooms_odkx,_create_user,createUser,
cold_rooms,cold_rooms_odkx,_form_id,formId,
cold_rooms,cold_rooms_odkx,_locale,locale,
cold_rooms,cold_rooms_odkx,_savepoint_type,savepointType,
cold_rooms,cold_rooms_odkx,_savepoint_creator,savepointCreator,
cold_rooms,cold_rooms_odkx,_last_update_user,lastUpdateUser_cold_rooms,
cold_rooms,cold_rooms_odkx,_savepoint_timestamp,savepointTimestamp_cold_rooms,
cold_rooms,cold_rooms_odkx,backup_generator,backup_generator,
cold_rooms,cold_rooms_odkx,backup_generator_functional_status,backup_generator_functional_status,
cold_rooms,cold_rooms_odkx,dimensions,dimensions,
cold_rooms,cold_rooms_odkx,facility_row_id,facility_row_id,
cold_rooms,cold_rooms_odkx,functional_status,functional_status,
cold_rooms,cold_rooms_odkx,gross_volume,gross_volume,
cold_rooms,cold_rooms_odkx,maintenance_priority,maintenance_priority,
cold_rooms,cold_rooms_odkx,manufacturer,manufacturer,
cold_rooms,cold_rooms_odkx,model,model,
cold_rooms,cold_rooms_odkx,net_volume,net_volume,
cold_rooms,cold_rooms_odkx,notes,notes,
cold_rooms,cold_rooms_odkx,reason_not_working,reason_not_working,
cold_rooms,cold_rooms_odkx,serial_number,serial_number,
cold_rooms,cold_rooms_odkx,storage_temperature,storage_temperature,
cold_rooms,cold_rooms_odkx,temperature_monitoring_device,temperature_monitoring_device,
cold_rooms,cold_rooms_odkx,temperature_monitoring_device_functional_status,temperature_monitoring_device_functional_status,
cold_rooms,cold_rooms_odkx,temperature_monitoring_device_type,temperature_monitoring_device_type,
cold_rooms,cold_rooms_odkx,tracking_id,tracking_id,
cold_rooms,cold_rooms_odkx,type,type,
cold_rooms,cold_rooms_odkx,utilization,utilization,
cold_rooms,cold_rooms_odkx,year,year,
cold_rooms,cold_rooms_odkx,_id,id_cold_rooms,
cold_rooms,cold_rooms_odkx,selfUri,selfUri,
geographic_regions,geographic_regions_odkx,_row_etag,rowETag,
geographic_regions,geographic_regions_odkx,_data_etag_at_modification,dataETagAtModification,
geographic_regions,geographic_regions_odkx,_deleted,deleted,
geographic_regions,geographic_regions_odkx,_create_user,createUser,
geographic_regions,geographic_regions_odkx,_form_id,formId,
geographic_regions,geographic_regions_odkx,_locale,locale,
geographic_regions,geographic_regions_odkx,_savepoint_type,savepointType,
geographic_regions,geographic_regions_odkx,_savepoint_creator,savepointCreator,
geographic_regions,geographic_regions_odkx,_last_update_user,lastUpdateUser_geographic_regions,
geographic_regions,geographic_regions_odkx,groupModify,groupModify,
geographic_regions,geographic_regions_odkx,groupPrivileged,groupPrivileged,
geographic_regions,geographic_regions_odkx,groupReadOnly,groupReadOnly,
geographic_regions,geographic_regions_odkx,levelNumber,levelNumber,
geographic_regions,geographic_regions_odkx,location_accuracy,location_accuracy,
geographic_regions,geographic_regions_odkx,location_altitude,location_altitude,
geographic_regions,geographic_regions_odkx,location_latitude,location_latitude,
geographic_regions,geographic_regions_odkx,location_longitude,location_longitude,
